Start
0.0006476278674118919
-5.327222544660934e-06,0.0020370083033098858
0.00010195548029014352,4.647816906343423e-05
6.637626877625986e-05,6.971702736670651e-06
4.689747780359417e-05,5.764676943183789e-05,5.486558386835934e-05
3.1445444230506284e-05,3.904178676080017e-05,2.585573686110683e-05
3.943392829970783e-05,-8.29739604113304e-06,-7.426472256917213e-06,1.444600073065994e-06
3.974096694399946e-05,-8.291542005210359e-06,-7.417964766649396e-06,1.6864101981844925e-06
4.0050638060531336e-05,-8.285705127562479e-06,-7.409436093354024e-06,1.931795790211709e-06
4.036298070606128e-05,-8.27988546633733e-06,-7.4008865664620255e-06,2.1808075538658465e-06
4.067803388612422e-05,-8.274083083346581e-06,-7.392316505370686e-06,2.4334961926854934e-06
4.099583656273431e-05,-8.268298034448326e-06,-7.383726239080721e-06,2.6899123948326505e-06
4.131642764034066e-05,-8.262530388531905e-06,-7.375116095843445e-06,2.950106839906724e-06
4.163984597908062e-05,-8.25678021000413e-06,-7.366486406435932e-06,3.2141301960440666e-06
4.196613039219844e-05,-8.251047563646516e-06,-7.357837500844219e-06,3.482033125649505e-06
4.229531963798239e-05,-8.245332521845603e-06,-7.349169720989243e-06,3.753866273725119e-06
4.262745243182447e-05,-8.239635155711175e-06,-7.340483393790051e-06,4.029680289700005e-06
4.296256743850439e-05,-8.233955539392254e-06,-7.331778870465697e-06,4.30952579663546e-06
4.3300703278767635e-05,-8.228293746149681e-06,-7.323056480530374e-06,4.593453429139102e-06
4.36418985191253e-05,-8.222649856363604e-06,-7.314316575758248e-06,4.881513797005063e-06
4.398619168580127e-05,-8.217023947250032e-06,-7.305559498458833e-06,5.1737575119148575e-06
4.4333621253796505e-05,-8.211416102408761e-06,-7.2967855968535805e-06,5.470235174503276e-06
4.468422565263445e-05,-8.205826403926905e-06,-7.287995223091356e-06,5.7709973792572535e-06
4.5038043264751236e-05,-8.200254937971649e-06,-7.279188727572425e-06,6.076094714710151e-06
4.539511242698056e-05,-8.194701791598355e-06,-7.270366468191056e-06,6.385577759542101e-06
4.57554714294435e-05,-8.189167052264842e-06,-7.261528799802283e-06,6.699497090670758e-06
4.6119158513106006e-05,-8.183650815006202e-06,-7.252676084824536e-06,7.017903275077279e-06
4.6486211880312146e-05,-8.178153169125998e-06,-7.243808681554539e-06,7.340846877106043e-06
4.6856669680143025e-05,-8.172674213586736e-06,-7.234926961306384e-06,7.668378451456364e-06
4.72305700196717e-05,-8.16721404396474e-06,-7.2260312868732e-06,8.000548551412025e-06
4.760795096653056e-05,-8.161772751645244e-06,-7.217122027334752e-06,8.337407725815914e-06
4.79888505243615e-05,-8.156350451702862e-06,-7.2081995583488795e-06,8.679006512672367e-06
4.837330667575381e-05,-8.150947232497471e-06,-7.199264255615054e-06,9.025395450749e-06
4.8761357338376496e-05,-8.145563208173875e-06,-7.1903164944302905e-06,9.376625073373334e-06
4.915304039736903e-05,-8.14019847906848e-06,-7.181356655351287e-06,9.732745909903845e-06
4.9548393686897766e-05,-8.13485315620359e-06,-7.1723851233756325e-06,1.0093808483301347e-05
4.9947454998732425e-05,-8.12952734886678e-06,-7.163402280461681e-06,1.0459863317137279e-05
5.035026208035869e-05,-8.12422116491622e-06,-7.15440852272313e-06,1.0830960923409003e-05
5.075685262927446e-05,-8.118934724727842e-06,-7.145404233853056e-06,1.1207151821954829e-05
5.116726430846359e-05,-8.113668136229199e-06,-7.136389811311303e-06,1.1588486520039796e-05
5.158153472599551e-05,-8.10842152201667e-06,-7.127365651655657e-06,1.1975015526275086e-05
5.199970145330229e-05,-8.103194996124038e-06,-7.118332155940307e-06,1.2366789344026079e-05
5.242180201166169e-05,-8.097988682507704e-06,-7.1092897251223e-06,1.2763858476436104e-05
5.284787388293854e-05,-8.092802700641541e-06,-7.100238765168562e-06,1.3166273422790476e-05
5.32779545016189e-05,-8.087637173968473e-06,-7.091179687652646e-06,1.3574084676073982e-05
5.3712081255268054e-05,-8.08249223171846e-06,-7.082112898999446e-06,1.398734273741768e-05
5.4150291494342046e-05,-8.077367995571946e-06,-7.073038817499364e-06,1.4406098092853594e-05
5.459262251781035e-05,-8.072264598297726e-06,-7.063957859305622e-06,1.4830401235574678e-05
5.5039111583244996e-05,-8.067182169611484e-06,-7.054870444942948e-06,1.5260302651876633e-05
