0.0005356007590156251,0.00024277945849088657,6.617033062504256e-05,-5.129535523657955e-06,-2.1794744944330507e-06
0.0005440086801728951,0.000247290915626043,6.794695622734098e-05,-5.089933023711898e-06,-2.124116441180532e-06
0.0005524687249117552,0.00025183208679360075,6.973967864657424e-05,-5.041449329777278e-06,-2.0677928864714507e-06
0.0005609760672721708,0.00025639793789050875,7.15433844703128e-05,-4.989190504517058e-06,-2.0122705566404803e-06
0.0005695291117894927,0.0002609867171690965,7.335627874262274e-05,-4.934922093404945e-06,-1.957349673243833e-06
0.0005781274283423034,0.0002655978428854956,7.517773590276197e-05,-4.879245816919939e-06,-1.9027678075222293e-06
0.0005867716696719288,0.0002702318133396075,7.700819768614957e-05,-4.8217177137706985e-06,-1.8485264095102066e-06
0.0005954646656307911,0.00027489130181959236,7.885024567200678e-05,-4.759817445755196e-06,-1.7945673385071775e-06
0.0006043668470622283,0.00027970792738288725,8.080117135214852e-05,-4.635179385882246e-06,-1.7458832905891536e-06
0.0006133290429636629,0.0002845499335458249,8.275030545370345e-05,-4.534363726499055e-06,-1.6856361855204643e-06
0.0006223229136895069,0.00028939541018249037,8.468368269972278e-05,-4.46215765736134e-06,-1.6366909434527982e-06
0.0006313717325721464,0.0002942678628676758,8.662504665907448e-05,-4.394602473692041e-06,-1.5857184341282887e-06
0.0006404797966869296,0.00029917144894967327,8.85785170152418e-05,-4.327557383774702e-06,-1.5344296528923412e-06
0.0006496482617148242,0.00030410714651566345,9.054500897112428e-05,-4.260101121865076e-06,-1.4830030174699943e-06
0.0006588776300335184,0.0003090752768854018,9.252477465494998e-05,-4.191984763970633e-06,-1.431769920177614e-06
0.0006681682071523659,0.00031407596619551723,9.45178713858822e-05,-4.1231555043385465e-06,-1.3807687133781527e-06
0.0006775202703534738,0.00031910931356262057,9.652432880102619e-05,-4.053591037283741e-06,-1.3300334467374747e-06
0.0006869340903857723,0.0003241754113205121,9.854416825795738e-05,-3.983280464385161e-06,-1.2795679033960478e-06
0.0006964099384695228,0.00032927435359663386,0.00010057741445139429,-3.912208417443039e-06,-1.2293776479165713e-06
0.0007059480724350798,0.0003344062208727528,0.00010262407804714542,-3.84037464473512e-06,-1.1794644059186926e-06
0.0007155487536198949,0.0003395710966104677,0.00010468417203851164,-3.7677779343072565e-06,-1.129826785682339e-06
0.0007252122469158403,0.00034476906710288323,0.00010675771155213596,-3.694416230928462e-06,-1.0804650447514969e-06
0.0007349388200403479,0.000350000220613493,0.00010884471296350267,-3.620287468279401e-06,-1.0313804328487136e-06
0.0007447287434899314,0.00035526464725584575,0.00011094519376826949,-3.5453896509492905e-06,-9.825749571739512e-07
0.0007545822905047992,0.0003605624389163357,0.00011305917250554414,-3.91417563807249e-06,-9.340512619037539e-07
0.0007646937801880801,0.00036632917109772576,0.00011589567773882318,-3.5538687013138975e-06,-8.597490446359685e-07
0.0007745722567038708,0.0003718262453375424,0.00011844084186551535,-3.490673781350248e-06,-8.536758910864667e-07
0.0007845186254782404,0.00037735990788500656,0.00012100351032029181,-3.4182582033786407e-06,-8.263671122926003e-07
0.0007945258320752368,0.00038292352558256024,0.0001235772555976039,-3.3432789774395094e-06,-7.949192999245208e-07
0.0008045935896915151,0.00038851706583771224,0.0001261621655426411,-3.2658217732472322e-06,-7.596521365404313e-07
0.0008147214362921372,0.00039414015411927877,0.00012875790367892478,-3.186326540607562e-06,-7.218124562623912e-07
0.0008249091194645123,0.0003997925195006314,0.0001313641836877154,-3.105144638511012e-06,-6.822173348308008e-07
0.0008351572898931194,0.00040547594036414937,0.0001339842234072516,-3.0147195217902073e-06,-6.58445989521958e-07,0.002350365028698011
0.0008454576694122009,0.000411180609487673,0.00013660655109091853,-2.9309189695288923e-06,-6.156057084077265e-07,0.0018071417392973108
0.0008558178513375593,0.00041691409432678103,0.00013923871569314298,-2.8462547232415564e-06,-5.7368775085824e-07,0.001261485888832453,0.00189249914380407
0.0008662382182107418,0.0004226765976875094,0.00014188082103392622,-2.7606443564389543e-06,-5.31383216329992e-07,0.001351802082335549,0.0007133787832238562,0.0014889011357672732,0.0015648810974553413
0.0008767185986333315,0.0004284664613960997,0.00014452952014283154,-2.6820987948355385e-06,-4.721003310486499e-07,0.000797253229608089,0.0013614039109482046,0.00016280388584566548,0.0010835176601646825,0.0010670883716217324
0.0009602124769481311,0.0005056012541046754,0.0002174662018700004,6.709935662719581e-05,5.30998022599434e-06,0.0006502215328614365,0.0010946991986500398,2.1897516001132336e-05,0.0008184201610979009,0.0007098740360176343
0.001156634810770253,0.00069532236845749,0.0004027218481718261,0.00024879838569158604,0.000125744523136408,0.0006434341747369818,0.0009256459289039929,2.097401476475365e-05,0.0006507740526993115,0.0004452638477527842
0.0014144441047240191,0.0009460866761786811,0.0006487639893293746,0.0004909456854618067,0.0003182823497234217,0.0006281194941488589,0.0008016045141518867,1.0430323821747703e-05,0.0005280452103881856,0.00022054544941974008
0.00171616685858173,0.0012405101510105103,0.0009382693531649862,0.0007762712904877348,0.0005589300620563054,0.0006184078138147268,0.0007098453780856068,4.87273672412393e-06,0.000437486582701714,0.0012613082416497116,2.428947902921759e-05
